Series ID,Year,Period,Label,Value
LAUCT171400000000004,2001,M01,2001 Jan,87666
LAUCT171400000000004,2001,M02,2001 Feb,88124
LAUCT171400000000004,2001,M03,2001 Mar,92453
LAUCT171400000000004,2001,M04,2001 Apr,92730
LAUCT171400000000004,2001,M05,2001 May,86177
LAUCT171400000000004,2001,M06,2001 Jun,98740
LAUCT171400000000004,2001,M07,2001 Jul,94100
LAUCT171400000000004,2001,M08,2001 Aug,95270
LAUCT171400000000004,2001,M09,2001 Sep,90237
LAUCT171400000000004,2001,M10,2001 Oct,94129
LAUCT171400000000004,2001,M11,2001 Nov,99041
LAUCT171400000000004,2001,M12,2001 Dec,102395
LAUCT171400000000004,2002,M01,2002 Jan,117611
LAUCT171400000000004,2002,M02,2002 Feb,115068
LAUCT171400000000004,2002,M03,2002 Mar,115529
LAUCT171400000000004,2002,M04,2002 Apr,118269
LAUCT171400000000004,2002,M05,2002 May,113662
LAUCT171400000000004,2002,M06,2002 Jun,124332
LAUCT171400000000004,2002,M07,2002 Jul,123720
LAUCT171400000000004,2002,M08,2002 Aug,115214
LAUCT171400000000004,2002,M09,2002 Sep,107357
LAUCT171400000000004,2002,M10,2002 Oct,108704
LAUCT171400000000004,2002,M11,2002 Nov,110063
LAUCT171400000000004,2002,M12,2002 Dec,106112
LAUCT171400000000004,2003,M01,2003 Jan,113322
LAUCT171400000000004,2003,M02,2003 Feb,108576
LAUCT171400000000004,2003,M03,2003 Mar,106402
LAUCT171400000000004,2003,M04,2003 Apr,104609
LAUCT171400000000004,2003,M05,2003 May,106981
LAUCT171400000000004,2003,M06,2003 Jun,125267
LAUCT171400000000004,2003,M07,2003 Jul,117508
LAUCT171400000000004,2003,M08,2003 Aug,113584
LAUCT171400000000004,2003,M09,2003 Sep,108118
LAUCT171400000000004,2003,M10,2003 Oct,100637
LAUCT171400000000004,2003,M11,2003 Nov,99162
LAUCT171400000000004,2003,M12,2003 Dec,92895
LAUCT171400000000004,2004,M01,2004 Jan,102624
LAUCT171400000000004,2004,M02,2004 Feb,97351
LAUCT171400000000004,2004,M03,2004 Mar,99839
LAUCT171400000000004,2004,M04,2004 Apr,97160
LAUCT171400000000004,2004,M05,2004 May,96725
LAUCT171400000000004,2004,M06,2004 Jun,105669
LAUCT171400000000004,2004,M07,2004 Jul,103956
LAUCT171400000000004,2004,M08,2004 Aug,98849
LAUCT171400000000004,2004,M09,2004 Sep,94797
LAUCT171400000000004,2004,M10,2004 Oct,95250
LAUCT171400000000004,2004,M11,2004 Nov,94741
LAUCT171400000000004,2004,M12,2004 Dec,90795
LAUCT171400000000004,2005,M01,2005 Jan,94868
